player,team,position,age_2025,bats,uses_torpedo_2025,at_bats_2024,at_bats_2025,avg_exit_velocity_2024,avg_exit_velocity_2025,barrel_pct_2024,barrel_pct_2025,bat_speed_2024,bat_speed_2025,batting_avg_2024,batting_avg_2025,bb_pct_2024,bb_pct_2025,hard_hit_pct_2024,hard_hit_pct_2025,home_runs_2024,home_runs_2025,hr_per_ab_2024,hr_per_ab_2025,k_pct_2024,k_pct_2025,obp_2024,obp_2025,ops_2024,ops_2025,slg_2024,slg_2025,d_avg_exit_velocity,d_hard_hit_pct,d_barrel_pct,d_bat_speed,d_batting_avg,d_obp,d_slg,d_ops,d_hr_per_ab,d_k_pct,d_bb_pct,d_hr_per_ab_pct,bats_R,bats_L,bats_S,age_group,z_ev24,z_hh24,z_bs24,big_improver
Corey Seager,TEX,SS,32,L,0,438.0,380.0,87.8,87.9,7.6,7.6,68.8,68.8,0.265,0.252,11.7,12.1,34.2,34.7,17.0,14.0,0.0388,0.0381,31.0,31.8,0.341,0.326,0.686,0.649,0.345,0.323,0.10000000000000853,0.5,0.0,0.0,-0.013000000000000012,-0.015000000000000013,-0.021999999999999964,-0.03700000000000003,-0.0006999999999999992,0.8000000000000007,0.40000000000000036,-1.8041237113401998,0,1,0,30-35,0.19861347138181706,-0.43173075351543794,-1.1549581472533326,0
Daniel Schneeman,CLE,INF,28,L,1,441.0,448.0,82.1,84.2,11.3,12.4,71.1,73.1,0.245,0.261,9.0,8.3,45.6,54.6,23.0,42.0,0.0522,0.093,20.0,17.7,0.35,0.361,0.686,0.737,0.336,0.376,2.1000000000000085,9.0,1.0999999999999996,2.0,0.016000000000000014,0.01100000000000001,0.03999999999999998,0.050999999999999934,0.040799999999999996,-2.3000000000000007,-0.6999999999999993,78.16091954022988,0,1,0,25-30,-1.3642137428246137,1.3131110466844427,-0.15392365013946283,1
Dansby Swanson,CHC,SS,31,R,1,403.0,391.0,84.8,85.6,10.8,10.7,72.5,73.5,0.236,0.242,11.8,13.5,47.9,48.2,21.0,23.0,0.0521,0.0588,13.3,13.0,0.289,0.297,0.742,0.778,0.453,0.481,0.7999999999999972,0.30000000000000426,-0.10000000000000142,1.0,0.006000000000000005,0.008000000000000007,0.02799999999999997,0.03600000000000003,0.006699999999999998,-0.3000000000000007,1.6999999999999993,12.85988483685221,1,0,0,30-35,-0.6239271676741988,1.6651405326896815,0.45540169592985247,0
Elly De La Cruz,CIN,SS,23,S,1,479.5,385.0,87.4,89.1,7.35,6.1,71.5,69.6,0.251,0.253,9.45,9.5,39.150000000000006,33.8,18.0,10.0,0.03695,0.0259,21.4,15.8,0.3275,0.296,0.74,0.769,0.413,0.473,0.20000000000000284,0.5,0.0,0.5,0.0010000000000000009,0.006000000000000005,0.017000000000000015,0.02200000000000002,0.0010000000000000009,-0.1999999999999993,0.40000000000000036,3.529411764705892,0,0,1,U25,0.08894138617435061,0.32589792288714237,0.020169305880343318,0
Elly De La Cruz,NYY,SS,23,S,1,444.0,479.0,88.1,87.19999999999999,5.9,8.0,69.2,71.95,0.245,0.2525,9.9,9.649999999999999,27.3,38.3,7.0,19.5,0.0158,0.03925,16.9,21.95,0.293,0.339,0.725,0.7615000000000001,0.432,0.4345,0.20000000000000284,0.5,0.0,0.5,0.0010000000000000009,0.006000000000000005,0.017000000000000015,0.02200000000000002,0.0010000000000000009,-0.1999999999999993,0.40000000000000036,3.529411764705892,0,0,1,U25,0.28086753528741787,-1.4878192115311557,-0.9808651912335266,0
Fernando Tatis Jr.,SD,OF,27,R,0,457.0,424.0,84.7,85.4,7.0,5.3,76.1,76.2,0.251,0.24,9.5,10.0,39.2,38.6,22.0,20.0,0.0481,0.0461,17.7,15.3,0.359,0.339,0.708,0.686,0.349,0.347,0.7000000000000028,-0.6000000000000014,-1.7000000000000002,0.10000000000000853,-0.01100000000000001,-0.019999999999999962,-0.0020000000000000018,-0.02199999999999991,-0.001999999999999995,-2.3999999999999986,0.5,-4.158004158004147,1,0,0,25-30,-0.6513451889760644,0.3335507378002993,2.022238300108083,0
Francisco Lindor,NYM,SS,31,S,1,593.0,598.0,85.8,86.2,7.2,9.0,69.9,70.7,0.266,0.272,9.5,8.5,33.5,36.6,19.0,27.0,0.032,0.0447,29.9,29.7,0.332,0.361,0.682,0.754,0.35,0.393,0.4000000000000057,3.1000000000000014,1.7999999999999998,0.7999999999999972,0.006000000000000005,0.02899999999999997,0.04300000000000004,0.07199999999999995,0.012699999999999996,-0.1999999999999993,-1.0,39.687499999999986,0,0,1,30-35,-0.34974695465552685,-0.5388701622996416,-0.6762025181988689,1
Freddie Freeman,LAD,1B,36,L,0,443.0,524.0,91.2,90.3,6.1,4.6,71.1,70.3,0.26,0.252,11.5,12.8,40.6,38.0,17.0,22.0,0.0384,0.0419,21.4,23.0,0.351,0.353,0.76,0.752,0.408,0.399,-0.9000000000000057,-2.6000000000000014,-1.5,-0.7999999999999972,-0.008000000000000007,0.0020000000000000018,-0.008999999999999952,-0.008000000000000007,0.003500000000000003,1.6000000000000014,1.3000000000000007,9.114583333333348,0,1,0,35+,1.1308261956453032,0.5478295553687055,-0.15392365013946283,0
Giancarlo Stanton,NYY,DH,36,R,1,490.0,569.0,94.8,96.0,8.3,10.9,69.8,70.9,0.28,0.294,11.3,10.5,36.7,46.9,20.0,28.0,0.0408,0.0484,27.9,26.4,0.331,0.358,0.844,0.956,0.513,0.598,1.2000000000000028,10.199999999999996,2.5999999999999996,1.1000000000000085,0.013999999999999957,0.02699999999999997,0.08499999999999996,0.11199999999999999,0.007599999999999996,-1.5,-0.8000000000000007,18.627450980392133,1,0,0,35+,2.117874962512521,-0.04909000785756932,-0.7197257572038235,0
Gunnar Henderson,BAL,SS,24,L,0,452.0,486.0,84.4,84.3,7.8,6.8,69.0,68.6,0.273,0.262,8.7,9.6,33.9,32.4,20.0,21.0,0.0442,0.0438,32.2,31.1,0.361,0.362,0.807,0.818,0.446,0.456,-0.10000000000000853,-1.5,-1.0,-0.4000000000000057,-0.01100000000000001,0.0010000000000000009,0.010000000000000009,0.010999999999999899,-0.0004000000000000045,-1.1000000000000014,0.9000000000000004,-0.9049773755656187,0,1,0,U25,-0.7335992528816652,-0.47764764299438284,-1.0679116692434296,0
Jazz Chisholm Jr.,NYY,2B,27,L,1,500.0,413.0,82.7,82.9,6.9,6.5,70.4,71.3,0.246,0.252,7.8,8.5,41.9,42.8,21.0,22.0,0.042,0.0543,32.7,33.3,0.332,0.361,0.746,0.792,0.414,0.431,0.20000000000000284,0.8999999999999986,-0.40000000000000036,0.8999999999999915,0.006000000000000005,0.02899999999999997,0.017000000000000015,0.04600000000000004,0.012299999999999998,0.5999999999999943,0.7000000000000002,29.28571428571427,0,1,0,25-30,-1.1997056150134082,0.7468027431107968,-0.4585863231741143,1
Jose Altuve,HOU,2B,35,R,0,593.0,544.0,82.0,82.0,7.3,8.1,75.5,75.7,0.224,0.203,5.2,4.6,27.2,26.2,14.0,14.0,0.0236,0.0251,13.7,12.8,0.304,0.319,0.776,0.773,0.471,0.454,0.0,-1.0,0.7999999999999998,0.20000000000000284,-0.02099999999999999,0.015000000000000013,-0.01699999999999996,-0.0030000000000000027,0.0015000000000000013,-0.8999999999999986,-0.6000000000000005,6.355932203389836,1,0,0,30-35,-1.3916317641264795,-1.5031248413574707,1.76109886607838,0
Jose Trevino,CIN,C,31,R,1,406.0,441.0,82.9,84.0,7.3,9.5,71.1,71.7,0.229,0.22,9.4,10.5,39.5,41.0,19.0,21.0,0.0468,0.0478,30.8,28.9,0.271,0.277,0.619,0.618,0.349,0.341,1.0999999999999943,1.5,2.2,0.6000000000000085,-0.009000000000000008,0.006000000000000005,-0.007999999999999952,-0.0010000000000000009,0.0010000000000000009,-1.9000000000000021,1.0999999999999996,2.136752136752129,1,0,0,30-35,-1.1448695724096731,0.3794676272792431,-0.15392365013946283,0
Juan Soto,NYM,OF,27,L,0,485.0,484.0,89.2,89.0,4.0,4.2,66.3,66.6,0.227,0.223,10.0,10.2,32.2,31.6,28.0,32.0,0.0577,0.0651,17.2,21.1,0.293,0.293,0.667,0.633,0.374,0.34,-0.20000000000000284,-0.6000000000000014,0.20000000000000018,0.29999999999999716,-0.0040000000000000036,0.0,-0.033999999999999975,-0.03400000000000003,0.007400000000000004,3.900000000000002,0.1999999999999993,12.824956672443676,0,1,0,25-30,0.5824657696079594,-0.7378433500417328,-2.2430391223771053,0
Junior Caminero,TB,3B,22,R,1,529.0,494.0,88.6,87.9,6.3,7.0,72.3,74.2,0.284,0.268,13.8,15.1,29.5,30.8,20.0,24.0,0.0378,0.0487,24.1,24.8,0.371,0.353,0.682,0.698,0.311,0.345,-0.6999999999999886,1.3000000000000007,0.7000000000000002,1.9000000000000057,-0.01599999999999996,-0.018000000000000016,0.033999999999999975,0.015999999999999903,0.0109,0.6999999999999993,1.299999999999999,28.835978835978835,1,0,0,U25,0.4179576417967538,-1.1510953553522314,0.3683552179199494,1
Ketel Marte,ARI,2B,32,S,1,512.0,431.0,82.0,82.5,7.4,8.9,72.2,73.5,0.246,0.265,8.0,8.6,31.9,32.3,6.0,6.0,0.0117,0.0135,26.3,28.4,0.286,0.315,0.697,0.806,0.412,0.491,0.5,0.3999999999999986,1.5,1.2999999999999972,0.019000000000000017,0.029000000000000026,0.07900000000000001,0.1090000000000001,0.0017999999999999995,2.099999999999998,0.5999999999999996,15.384615384615374,0,0,1,30-35,-1.3916317641264795,-0.7837602395206777,0.324831978915001,0
Manny Machado,SD,3B,33,R,0,536.0,509.0,87.6,87.1,5.2,5.7,65.5,65.0,0.295,0.303,8.4,9.0,45.8,47.0,16.0,19.0,0.0299,0.0373,20.6,20.4,0.421,0.417,0.857,0.858,0.436,0.441,-0.5,1.2000000000000028,0.5,-0.5,0.008000000000000007,-0.0040000000000000036,0.0050000000000000044,0.0010000000000000009,0.0074,-0.20000000000000284,0.5999999999999996,24.74916387959867,1,0,0,30-35,0.1437774287780819,1.3437223063370716,-2.591225034416712,1
Marcus Semien,TEX,2B,35,R,0,404.0,512.0,82.0,82.4,10.5,8.7,74.3,74.4,0.232,0.225,11.2,11.5,44.3,45.0,25.0,27.0,0.0619,0.0524,25.2,27.2,0.324,0.345,0.739,0.81,0.415,0.465,0.4000000000000057,0.7000000000000028,-1.8000000000000007,0.10000000000000853,-0.007000000000000006,0.020999999999999963,0.050000000000000044,0.07100000000000006,-0.009499999999999995,2.0,0.3000000000000007,-15.347334410339252,1,0,0,30-35,-1.3916317641264795,1.1141378589423505,1.2388199980189678,0
Matt Olson,ATL,1B,32,L,0,582.0,568.0,91.4,90.5,8.8,8.8,72.2,72.3,0.227,0.242,3.0,3.0,36.1,36.2,23.0,15.0,0.0395,0.0268,16.2,14.5,0.292,0.311,0.782,0.813,0.49,0.502,-0.9000000000000057,0.10000000000000142,0.0,0.09999999999999432,0.014999999999999986,0.019000000000000017,0.01200000000000001,0.030999999999999917,-0.0127,-1.6999999999999993,0.0,-32.15189873417721,0,1,0,30-35,1.1856622382490385,-0.140923786815458,0.324831978915001,0
Max Muncy,LAD,3B,35,L,0,470.0,474.0,88.5,89.1,5.1,3.6,71.5,71.2,0.25,0.268,8.7,9.1,40.3,35.7,16.0,17.0,0.034,0.0352,16.9,15.2,0.3,0.286,0.621,0.63,0.321,0.344,0.5999999999999943,-4.599999999999994,-1.4999999999999996,-0.29999999999999716,0.018000000000000016,-0.014000000000000012,0.022999999999999965,0.009000000000000008,0.0011999999999999997,-1.6999999999999993,0.40000000000000036,3.529411764705892,0,1,0,30-35,0.39053962049488816,0.5019126658897606,0.020169305880343318,0
Mike Trout,LAA,OF,34,R,0,547.0,536.0,89.7,90.1,8.7,8.1,67.3,68.0,0.268,0.263,5.2,4.7,41.3,41.8,22.0,22.0,0.0402,0.0404,18.0,18.7,0.323,0.316,0.77,0.772,0.448,0.456,0.3999999999999915,0.5,-0.5999999999999996,0.7000000000000028,-0.0050000000000000044,-0.007000000000000006,0.008000000000000007,0.0020000000000000018,0.0001999999999999988,0.6999999999999993,-0.5,0.4975124378109319,1,0,0,30-35,0.7195558761172953,0.6549689641529081,-1.8078067323275964,0
Mookie Betts,LAD,SS,33,R,0,383.0,439.0,84.8,85.0,7.3,7.8,69.4,69.4,0.24,0.218,4.9,4.2,42.1,38.6,23.0,29.0,0.0601,0.0668,30.6,29.0,0.286,0.28,0.628,0.605,0.343,0.325,0.20000000000000284,-3.5,0.5,0.0,-0.021999999999999992,-0.00599999999999995,-0.018000000000000016,-0.02300000000000002,0.006699999999999998,-1.6000000000000014,-0.7000000000000002,11.148086522462552,1,0,0,30-35,-0.6239271676741988,0.7774140027634266,-0.8938187132236234,0
Nico Hoerner,CHC,2B,28,R,1,507.0,413.0,84.8,85.0,5.0,5.0,70.9,71.5,0.274,0.282,8.2,8.7,45.1,44.3,8.0,7.0,0.0158,0.0162,20.8,19.2,0.358,0.371,0.761,0.809,0.403,0.438,0.20000000000000284,-0.8000000000000043,0.0,0.5999999999999943,0.007999999999999952,0.013000000000000012,0.034999999999999976,0.04800000000000004,0.0003999999999999976,-1.6000000000000014,0.5,2.5316455696202445,1,0,0,25-30,-0.6239271676741988,1.236582897552869,-0.2409701281493597,0
Paul Goldschmidt,NYY,1B,37,R,1,598.0,567.0,92.0,94.3,9.6,12.4,70.6,72.6,0.243,0.26,10.5,10.3,41.3,51.4,10.0,13.0,0.0167,0.0236,17.4,16.4,0.336,0.35,0.74,0.811,0.405,0.461,2.299999999999997,10.100000000000001,2.8000000000000007,2.0,0.017000000000000015,0.013999999999999957,0.055999999999999994,0.07100000000000006,0.0069,-1.0,-0.1999999999999993,41.31736526946108,1,0,0,35+,1.35017036606024,0.6549689641529081,-0.3715398451642174,1
Pete Alonso,NYM,1B,31,R,0,413.0,404.0,90.8,90.3,7.8,7.9,72.2,72.7,0.259,0.281,12.6,12.3,43.4,39.7,3.0,3.0,0.0073,0.0078,27.0,27.0,0.35,0.339,0.833,0.811,0.483,0.472,-0.5,-3.6999999999999957,0.10000000000000053,0.5,0.02200000000000002,-0.010999999999999954,-0.01100000000000001,-0.02199999999999991,0.0004999999999999996,0.0,-0.29999999999999893,6.849315068493156,1,0,0,30-35,1.0211541104378328,0.9763871905055179,0.324831978915001,0
Rafael Devers,BOS,3B,28,L,0,420.0,501.0,84.6,85.2,10.5,9.3,74.1,74.1,0.281,0.284,12.9,12.3,37.1,36.8,22.0,26.0,0.0524,0.0511,23.9,23.1,0.356,0.359,0.751,0.737,0.395,0.378,0.6000000000000085,-0.30000000000000426,-1.1999999999999993,0.0,0.002999999999999947,0.0030000000000000027,-0.017000000000000015,-0.014000000000000012,-0.0013000000000000025,-0.7999999999999972,-0.5999999999999996,-2.4809160305343525,0,1,0,25-30,-0.678763210277934,0.012132511447689445,1.1517735200090646,0
Shohei Ohtani,LAD,DH,31,L,0,498.0,533.0,93.9,93.9,9.6,11.6,72.4,73.3,0.288,0.289,10.2,10.2,39.9,40.6,18.0,20.0,0.0361,0.0368,27.6,28.1,0.356,0.346,0.728,0.75,0.372,0.404,0.0,0.7000000000000028,2.0,0.8999999999999915,0.0010000000000000009,-0.010000000000000009,0.03200000000000003,0.02200000000000002,0.0006999999999999992,0.5,0.0,1.939058171745156,0,1,0,30-35,1.8711127707957182,0.44069014658450184,0.41187845692490405,0
Vladimir Guerrero Jr.,TOR,1B,27,R,0,549.0,531.0,89.1,89.1,2.0,2.3,70.1,70.5,0.316,0.308,9.3,10.6,28.9,30.5,7.0,8.0,0.0128,0.0142,20.5,19.2,0.399,0.387,0.853,0.89,0.454,0.503,0.0,1.6000000000000014,0.2999999999999998,0.4000000000000057,-0.008000000000000007,-0.01200000000000001,0.04899999999999999,0.03700000000000003,0.0014000000000000002,-1.3000000000000007,1.299999999999999,10.9375,1,0,0,25-30,0.5550477483060898,-1.24292913431012,-0.5891560401889719,0
Willson Contreras,STL,1B,33,R,1,453.0,496.0,87.4,86.6,8.9,7.6,74.5,74.2,0.237,0.243,6.4,6.2,34.3,27.8,11.0,8.0,0.0243,0.0159,19.4,17.1,0.299,0.345,0.573,0.706,0.275,0.361,-0.8000000000000114,-6.4999999999999964,-1.3000000000000007,-0.29999999999999716,0.006000000000000005,0.045999999999999985,0.08599999999999997,0.133,-0.008399999999999998,-2.299999999999997,-0.20000000000000018,-34.5679012345679,1,0,0,30-35,0.08894138617435061,-0.41642512368912404,1.3258664760288708,0
Yordan Alvarez,HOU,DH,28,L,0,471.0,441.0,94.6,95.3,7.0,6.7,72.9,73.1,0.26,0.231,4.6,6.6,40.6,43.1,14.0,11.0,0.0297,0.0256,22.9,24.0,0.306,0.293,0.742,0.721,0.437,0.428,0.7000000000000028,2.5,-0.2999999999999998,0.19999999999998863,-0.028999999999999998,-0.013000000000000012,-0.009000000000000008,-0.02100000000000002,-0.0040999999999999995,1.1000000000000014,2.0,-13.804713804713797,0,1,0,25-30,2.0630389199087853,0.5478295553687055,0.6294946519496586,0
